Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.05     0.00    46382     0.00     0.00  Date::~Date()
  0.00      2.05     0.00    42765     0.00     0.00  LogEntry* std::__addressof<LogEntry>(LogEntry&)
  0.00      2.05     0.00    36382     0.00     0.00  LogEntry::~LogEntry()
  0.00      2.05     0.00    26382     0.00     0.00  Date::Date(Date const&)
  0.00      2.05     0.00    26382     0.00     0.00  void std::_Destroy<LogEntry>(LogEntry*)
  0.00      2.05     0.00    20000     0.00     0.00  String::capacity() const
  0.00      2.05     0.00    19999     0.00     0.00  Date::operator=(Date const&)
  0.00      2.05     0.00    19991     0.00     0.00  LogEntry::getHost() const
  0.00      2.05     0.00    19991     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::operator[](unsigned long) const
  0.00      2.05     0.00    16383     0.00     0.00  void std::_Construct<LogEntry, LogEntry>(LogEntry*, LogEntry const&)
  0.00      2.05     0.00    10060     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::size() const
  0.00      2.05     0.00    10008     0.00     0.00  Date::Date()
  0.00      2.05     0.00    10008     0.00     0.00  Time::Time()
  0.00      2.05     0.00     9999     0.00     0.00  LogEntry::LogEntry(String)
  0.00      2.05     0.00     9999     0.00     0.00  LogEntry::operator=(LogEntry const&)
  0.00      2.05     0.00     9999     0.00     0.00  __gnu_cxx::new_allocator<LogEntry>::construct(LogEntry*, LogEntry const&)
  0.00      2.05     0.00     9999     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<LogEntry> >::construct<LogEntry>(std::allocator<LogEntry>&, LogEntry*, LogEntry const&)
  0.00      2.05     0.00     9999     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::push_back(LogEntry const&)
  0.00      2.05     0.00     9992     0.00     0.00  Date::Date(String)
  0.00      2.05     0.00     9992     0.00     0.00  Time::Time(String)
  0.00      2.05     0.00     9992     0.00     0.00  operator<<(std::ostream&, String const&)
