Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.65     0.00        1     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::vector()
  0.00      2.65     0.00        1     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::~vector()
  0.00      2.65     0.00        1     0.00     0.00  void std::uninitialized_fill_n<String*, unsigned long, String>(String*, unsigned long, String const&)
  0.00      2.65     0.00        1     0.00     0.00  void std::__uninitialized_fill_n_a<String*, unsigned long, String, String>(String*, unsigned long, String const&, std::allocator<String>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.38% of 2.65 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.8    0.00    2.65                 main [1]
                0.02    2.60       1/1           parse(std::istream&) [2]
                0.00    0.03       1/1           output_all(std::ostream&, std::vector<LogEntry, std::allocator<LogEntry> > const&) [36]
                0.00    0.00       1/1           std::vector<LogEntry, std::allocator<LogEntry> >::~vector() [61]
                0.00    0.00       1/1           std::vector<String, std::allocator<String> >::vector(unsigned long, String const&, std::allocator<String> const&) [63]
                0.00    0.00       4/239951      String::String(char const*) [44]
                0.00    0.00       1/69952       std::vector<String, std::allocator<String> >::~vector() [47]
                0.00    0.00       3/2934500     String::operator=(String) [37]
                0.00    0.00       5/6757845     String::~String() [42]
                0.00    0.00       4/234670      std::vector<String, std::allocator<String> >::operator[](unsigned long) [85]
                0.00    0.00       1/69952       std::allocator<String>::allocator() [97]
                0.00    0.00       1/139953      String::String() [92]
                0.00    0.00       1/69953       std::allocator<String>::~allocator() [95]
                0.00    0.00       1/289852      String::operator==(String const&) const [82]
-----------------------------------------------
                0.02    2.60       1/1           main [1]
[2]     98.7    0.02    2.60       1         parse(std::istream&) [2]
                0.00    1.88    9999/9999        LogEntry::LogEntry(String) [3]
                0.02    0.46 1007483/2644560     String::operator+(String const&) const [5]
                0.00    0.14    9999/9999        std::vector<LogEntry, std::allocator<LogEntry> >::push_back(LogEntry const&) [20]
                0.00    0.05    9999/9999        LogEntry::operator=(LogEntry const&) [33]
                0.02    0.00 1007483/2874438     String::String(char) [28]
                0.00    0.01 1017482/2934500     String::operator=(String) [37]
                0.01    0.00    9999/858943      String::String(String const&) [7]
                0.00    0.00 2034965/6757845     String::~String() [42]
                0.00    0.00    9999/239951      String::String(char const*) [44]
                0.00    0.00   10000/36382       LogEntry::~LogEntry() [55]
                0.00    0.00       1/1           LogEntry::LogEntry() [67]
                0.00    0.00       1/1           std::vector<LogEntry, std::allocator<LogEntry> >::vector() [148]
                0.00    0.00       1/139953      String::String() [92]
-----------------------------------------------
                0.00    1.88    9999/9999        parse(std::istream&) [2]
[3]     70.8    0.00    1.88    9999         LogEntry::LogEntry(String) [3]
                0.00    0.77    9992/9992        Date::Date(String) [8]
                0.02    0.69   29983/69951       String::split(char) const [4]
                0.00    0.27    9992/9992        Time::Time(String) [12]
                0.07    0.00   67373/858943      String::String(String const&) [7]
                0.00    0.02   49960/2644560     String::operator+(String const&) const [5]
                0.00    0.02    9999/19999       Date::operator=(Date const&) [34]
                0.00    0.00   29983/69952       std::vector<String, std::allocator<String> >::~vector() [47]
                0.00    0.00   10006/10008       Date::Date() [50]
                0.00    0.00   20005/239951      String::String(char const*) [44]
                0.00    0.00    7421/10382507     String::length() const [6]
                0.00    0.00   39989/2934500     String::operator=(String) [37]
                0.00    0.00    9992/2874438     String::String(char) [28]
                0.00    0.00  147330/6757845     String::~String() [42]
                0.00    0.00    9999/46382       Date::~Date() [60]
                0.00    0.00  114762/234670      std::vector<String, std::allocator<String> >::operator[](unsigned long) [85]
                0.00    0.00   29997/139953      String::String() [92]
                0.00    0.00   10006/10008       Time::Time() [108]
                0.00    0.00    9999/689575      std::vector<String, std::allocator<String> >::size() const [75]
                0.00    0.00    9992/289852      String::operator==(String const&) const [82]
                0.00    0.00    7421/47389       stoi(String, int) [104]
-----------------------------------------------
                0.01    0.23    9992/69951       Time::Time(String) [12]
                0.02    0.69   29976/69951       Date::Date(String) [8]
                0.02    0.69   29983/69951       LogEntry::LogEntry(String) [3]
[4]     63.0    0.05    1.62   69951         String::split(char) const [4]
                0.02    0.72 1587117/2644560     String::operator+(String const&) const [5]
                0.00    0.53  239870/239870      std::vector<String, std::allocator<String> >::push_back(String const&) [9]
                0.21    0.00 1856963/10382507     String::length() const [6]
                0.00    0.06   69951/69951       String::findchar(char const&) const [30]
                0.05    0.00 1856963/2874438     String::String(char) [28]
                0.01    0.01 1767028/2934500     String::operator=(String) [37]
                0.01    0.00  179911/239951      String::String(char const*) [44]
                0.01    0.00 3693942/6757845     String::~String() [42]
                0.00    0.00  269846/269846      operator!=(String const&, String const&) [83]
                0.00    0.00   69951/69951       std::vector<String, std::allocator<String> >::vector() [102]
                0.00    0.00   69951/139953      String::String() [92]
-----------------------------------------------
                0.00    0.02   49960/2644560     LogEntry::LogEntry(String) [3]
                0.02    0.46 1007483/2644560     parse(std::istream&) [2]
                0.02    0.72 1587117/2644560     String::split(char) const [4]
[5]     47.0    0.04    1.21 2644560         String::operator+(String const&) const [5]
                0.89    0.00 7933756/10382507     String::length() const [6]
                0.32    0.00 2644560/2644560     String::String(int, char const*) [11]
-----------------------------------------------
                0.00    0.00    7421/10382507     LogEntry::LogEntry(String) [3]
                0.00    0.00    9992/10382507     Date::Date(String) [8]
                0.00    0.00   29976/10382507     Time::Time(String) [12]
                0.06    0.00  544399/10382507     String::findchar(char const&) const [30]
                0.21    0.00 1856963/10382507     String::split(char) const [4]
                0.89    0.00 7933756/10382507     String::operator+(String const&) const [5]
[6]     43.8    1.16    0.00 10382507         String::length() const [6]
-----------------------------------------------
                0.01    0.00    9992/858943      Date::getDay() const [40]
                0.01    0.00    9992/858943      Date::getMonth() const [41]
                0.01    0.00    9999/858943      parse(std::istream&) [2]
                0.03    0.00   29976/858943      Time::Time(String) [12]
                0.03    0.00   29997/858943      LogEntry::operator=(LogEntry const&) [33]
                0.04    0.00   39998/858943      Date::operator=(Date const&) [34]
                0.05    0.00   49960/858943      Date::Date(String) [8]
                0.05    0.00   52764/858943      Date::Date(Date const&) [29]
                0.07    0.00   67373/858943      LogEntry::LogEntry(String) [3]
                0.08    0.00   79146/858943      LogEntry::LogEntry(LogEntry const&) [21]
                0.24    0.00  239870/858943      __gnu_cxx::new_allocator<String>::construct(String*, String const&) [18]
                0.24    0.00  239876/858943      void std::_Construct<String, String>(String*, String const&) [13]
[7]     32.8    0.87    0.00  858943         String::String(String const&) [7]
-----------------------------------------------
                0.00    0.77    9992/9992        LogEntry::LogEntry(String) [3]
[8]     29.0    0.00    0.77    9992         Date::Date(String) [8]
                0.02    0.69   29976/69951       String::split(char) const [4]
                0.05    0.00   49960/858943      String::String(String const&) [7]
                0.00    0.00   29976/69952       std::vector<String, std::allocator<String> >::~vector() [47]
                0.00    0.00    9992/10382507     String::length() const [6]
                0.00    0.00   19984/2934500     String::operator=(String) [37]
                0.00    0.00   49960/6757845     String::~String() [42]
                0.00    0.00   59952/234670      std::vector<String, std::allocator<String> >::operator[](unsigned long) [85]
                0.00    0.00   19984/139953      String::String() [92]
                0.00    0.00    9992/47389       stoi(String, int) [104]
-----------------------------------------------
                0.00    0.53  239870/239870      String::split(char) const [4]
[9]     19.9    0.00    0.53  239870         std::vector<String, std::allocator<String> >::push_back(String const&) [9]
                0.01    0.44  169894/169894      std::vector<String, std::allocator<String> >::_M_insert_aux(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >, String const&) [10]
                0.00    0.07   69976/239870      void __gnu_cxx::__alloc_traits<std::allocator<String> >::construct<String>(std::allocator<String>&, String*, String const&) [19]
                0.00    0.00  169894/169894      std::vector<String, std::allocator<String> >::end() [48]
-----------------------------------------------
                0.01    0.44  169894/169894      std::vector<String, std::allocator<String> >::push_back(String const&) [9]
[10]    17.1    0.01    0.44  169894         std::vector<String, std::allocator<String> >::_M_insert_aux(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >, String const&) [10]
                0.00    0.25  339788/339788      String* std::__uninitialized_move_if_noexcept_a<String*, String*, std::allocator<String> >(String*, String*, String*, std::allocator<String>&) [17]
                0.00    0.17  169894/239870      void __gnu_cxx::__alloc_traits<std::allocator<String> >::construct<String>(std::allocator<String>&, String*, String const&) [19]
                0.01    0.00  509682/579635      std::_Vector_base<String, std::allocator<String> >::_M_get_Tp_allocator() [43]
                0.01    0.00  169894/239846      void std::_Destroy<String*, String>(String*, String*, std::allocator<String>&) [39]
                0.00    0.00  169894/169894      std::vector<String, std::allocator<String> >::begin() [49]
                0.00    0.00  339788/679576      __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::base() const [76]
                0.00    0.00  169894/169894      std::vector<String, std::allocator<String> >::_M_check_len(unsigned long, char const*) const [91]
                0.00    0.00  169894/169894      __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::difference_type __gnu_cxx::operator-<String*, std::vector<String, std::allocator<String> > >(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > > const&, __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > > const&) [90]
                0.00    0.00  169894/169895      std::_Vector_base<String, std::allocator<String> >::_M_allocate(unsigned long) [89]
                0.00    0.00  169894/239846      std::_Vector_base<String, std::allocator<String> >::_M_deallocate(String*, unsigned long) [84]
-----------------------------------------------
                0.32    0.00 2644560/2644560     String::operator+(String const&) const [5]
[11]    12.1    0.32    0.00 2644560         String::String(int, char const*) [11]
-----------------------------------------------
                0.00    0.27    9992/9992        LogEntry::LogEntry(String) [3]
[12]    10.3    0.00    0.27    9992         Time::Time(String) [12]
                0.01    0.23    9992/69951       String::split(char) const [4]
                0.03    0.00   29976/858943      String::String(String const&) [7]
                0.00    0.00   29976/10382507     String::length() const [6]
                0.00    0.00    9992/69952       std::vector<String, std::allocator<String> >::~vector() [47]
                0.00    0.00   29976/6757845     String::~String() [42]
                0.00    0.00   59952/234670      std::vector<String, std::allocator<String> >::operator[](unsigned long) [85]
                0.00    0.00   29976/47389       stoi(String, int) [104]
-----------------------------------------------
                0.00    0.00       3/239876      void std::__uninitialized_fill_n<false>::__uninit_fill_n<String*, unsigned long, String>(String*, unsigned long, String const&) [64]
                0.01    0.24  239873/239876      String* std::__uninitialized_copy<false>::__uninit_copy<String*, String*>(String*, String*, String*) [14]
[13]     9.5    0.01    0.24  239876         void std::_Construct<String, String>(String*, String const&) [13]
                0.24    0.00  239876/858943      String::String(String const&) [7]
                0.00    0.00  239876/506128      operator new(unsigned long, void*) [78]
-----------------------------------------------
                0.00    0.25  339788/339788      String* std::uninitialized_copy<String*, String*>(String*, String*, String*) [15]
[14]     9.5    0.00    0.25  339788         String* std::__uninitialized_copy<false>::__uninit_copy<String*, String*>(String*, String*, String*) [14]
                0.01    0.24  239873/239876      void std::_Construct<String, String>(String*, String const&) [13]
                0.00    0.00  239873/719622      String* std::__addressof<String>(String&) [74]
-----------------------------------------------
                0.00    0.25  339788/339788      String* std::__uninitialized_copy_a<String*, String*, String>(String*, String*, String*, std::allocator<String>&) [16]
[15]     9.5    0.00    0.25  339788         String* std::uninitialized_copy<String*, String*>(String*, String*, String*) [15]
                0.00    0.25  339788/339788      String* std::__uninitialized_copy<false>::__uninit_copy<String*, String*>(String*, String*, String*) [14]
-----------------------------------------------
                0.00    0.25  339788/339788      String* std::__uninitialized_move_if_noexcept_a<String*, String*, std::allocator<String> >(String*, String*, String*, std::allocator<String>&) [17]
[16]     9.5    0.00    0.25  339788         String* std::__uninitialized_copy_a<String*, String*, String>(String*, String*, String*, std::allocator<String>&) [16]
                0.00    0.25  339788/339788      String* std::uninitialized_copy<String*, String*>(String*, String*, String*) [15]
-----------------------------------------------
